speed_1042,power_1042,speed_1043,power_1043,speed_1044,power_1044,speed_1045,power_1045,speed_1046,power_1046,speed_1047,power_1047,speed_1048,power_1048,speed_1049,power_1049,speed_1050,power_1050,speed_1051,power_1051,speed_1052,power_1052,speed_1053,power_1053,speed_1054,power_1054,speed_1056,power_1056
4.590000153,112.5500031,5,95.75,4.329999924,99.65000153,4.53000021,71.45999908,4.199999809,-3.539999962,4.460000038,91.69000244,4.369999886,62.36999893,3.690000057,13.92000008,3.599999905,8.199999809,3.890000105,35.84999847,4.570000172,171.9700012,4.809999943,171.8600006,5.190000057,206.7899933,5.239999771,213.9400024
4.519999981,114.5400009,4.630000114,73.51999664,4.21999979,70.69000244,4.409999847,67.37000275,4.050000191,-4.809999943,4.53000021,91.16000366,4.289999962,74.30000305,3.950000048,29.95999908,3.150000095,-4.199999809,3.559999943,17.71999931,4.050000191,46.88000107,3.269999981,-7.110000134,3.710000038,5.159999847,3.970000029,27.35000038
4.25,81.23999786,4.420000076,31.51000023,4.079999924,85.26999664,4.449999809,80.18000031,3.460000038,-3.970000029,4.449999809,81.30000305,4.309999943,79.52999878,3.940000057,57.09000015,3.00999999,-3.670000076,4.050000191,47.06000137,4.210000038,75.69999695,3.579999924,-2.400000095,4.25,40.72999954,4.489999771,30.94000053
4.369999886,92.79000092,4.230000019,55.79000092,4.369999886,96.81999969,4.690000057,88.20999908,4.260000229,-3.349999905,4.78000021,79.62000275,4.309999943,79.94999695,3.970000029,56.29000092,2.900000095,-3.819999933,4.170000076,54.22999954,4.380000114,106.8499985,4.400000095,77.33999634,4.099999905,37.02000046,4.210000038,58.75
4.449999809,108.75,4.380000114,70.47000122,4.28000021,100.3099976,4.519999981,93.68000031,3.960000038,-4.349999905,4.739999771,103.6699982,4.480000019,101.9499969,3.900000095,45.93999863,2.980000019,-1.059999943,3.839999914,47.70000076,4.539999962,138.1499939,4.679999828,110.6900024,3.660000086,26.47999954,3.930000067,46.90000153
4.71999979,147.7599945,4.389999866,85.75,4.690000057,158.9400024,4.829999924,127.1200027,4.099999905,-3.75999999,4.789999962,115.0400009,4.630000114,161.2599945,4.159999847,71.91999817,3.24000001,-1.629999995,4.239999771,91.70999908,4.769999981,170.9299927,5.199999809,177.7400055,4.099999905,58.40000153,4.059999943,62.18000031
4.920000076,167.5599976,4.920000076,126.3499985,4.960000038,195.1999969,5.159999847,175.5,4.559999943,-2.690000057,5.059999943,146.3999939,5.03000021,203.6699982,4.860000134,148.6699982,3.599999905,-1.429999948,4.639999866,103.7200012,4.789999962,188.25,4.710000038,102.1600037,4.269999981,49.25999832,4.690000057,104.5299988
4.989999771,155.6699982,4.71999979,102.8399963,5.050000191,203.1699982,5.28000021,182.6300049,4.619999886,-4.860000134,5.050000191,148.7200012,5.239999771,210.6799927,4.909999847,171.3800049,4.690000057,85,4.710000038,87.69000244,5.090000153,225.4700012,4.570000172,84.56999969,4.960000038,84.61000061,4.820000172,164.4400024
4.659999847,127.9400024,4.449999809,79.72000122,4.920000076,184.5399933,5.139999866,169.0299988,4.099999905,-3.910000086,4.610000134,117.6100006,5.190000057,200.6699982,4.699999809,150.4100037,4.369999886,67.26000214,4.150000095,53.65999985,5.039999962,217.1600037,4.349999905,84.86000061,4.519999981,88.29000092,4.760000229,154.3399963
4.820000172,150.5399933,4.300000191,67.02999878,4.869999886,181.9400024,4.860000134,141.6600037,3.829999924,-3.660000086,4.840000153,120.6600037,4.949999809,202.0099945,4.539999962,111.0699997,4.039999962,48,4.699999809,88.63999939,4.960000038,216.3999939,5.099999905,165.5399933,4.159999847,55.22000122,4.679999828,100.5500031
5.079999924,191.8099976,4.960000038,147.2200012,5.340000153,212.1499939,5.420000076,155.1900024,4.53000021,-4.360000134,5.130000114,191.1199951,5.059999943,224.2899933,4.71999979,112.3399963,4.429999828,98.93000031,5.440000057,205.5299988,5.510000229,252.7299957,5.340000153,233.4799957,4.909999847,161.5500031,4.610000134,134.5399933
5.400000095,242.4600067,5.320000172,207.9900055,5.460000038,239.6300049,5,148.2899933,4.929999828,-3.710000038,5.170000076,210.1999969,5.150000095,240.9199982,4.730000019,137.1799927,4.449999809,96.91999817,5.539999962,209.8099976,5.659999847,255.3300018,5.070000172,193.0299988,4.809999943,157.5700073,4.659999847,145.4299927
5.53000021,282.3200073,5.599999905,268.5100098,5.630000114,260.1799927,4.690000057,121.9300003,4.380000114,-3.519999981,5.139999866,199.7200012,5.099999905,250.7899933,4.340000153,103.6500015,3.980000019,54.11000061,5.360000134,181.3699951,5.139999866,244.8099976,5.130000114,202.0500031,3.859999895,52.04000092,4.320000172,96
5.519999981,286.1499939,5.690000057,293.1799927,5.489999771,258.730011,4.619999886,104,4.929999828,-4.71999979,5.190000057,224.8600006,5.230000019,250.9900055,4.380000114,117.9899979,4.46999979,104.4000015,5.820000172,256.0100098,5.420000076,281.8699951,5.599999905,278.6300049,4.659999847,141.8600006,4.139999866,81.22000122
5.710000038,306.730011,5.840000153,306.6900024,5.769999981,289.9100037,4.610000134,110.3199997,4.539999962,-3.430000067,5.199999809,195.3600006,5.429999828,287.6099854,4.28000021,106.8099976,4.239999771,74.80999756,5.590000153,220.7400055,5.590000153,301.9100037,5.440000057,233.4100037,4.119999886,82.40000153,4.110000134,71.94000244
5.519999981,258.8099976,5.190000057,191.8899994,5.579999924,249.4400024,4.809999943,106.7200012,3.589999914,-2.980000019,4.639999866,115.2900009,5.139999866,246.6600037,4.289999962,81.23000336,4,46.27000046,4.829999924,132.9299927,5.449999809,260.1700134,4.809999943,163.3099976,3.75,44.04000092,4.079999924,65.27999878
5.460000038,243.0700073,4.130000114,60.65000153,5.309999943,228.5099945,5,130.9799957,3.960000038,-4.789999962,4.769999981,123.5699997,5.159999847,230.1300049,4.53000021,76.62999725,3.880000114,26.67000008,3.819999933,25.47999954,5.300000191,221.7700043,4.349999905,97.55999756,3.589999914,20.68000031,4.110000134,63.83000183
5.110000134,189.7599945,3.869999886,31.73999977,4.670000076,161.7799988,4.199999809,80.15000153,2.930000067,-4,3.880000114,49.95000076,4.630000114,162.0099945,4.070000172,53.75999832,3.549999952,3.039999962,3.980000019,20.28000069,4.900000095,161.8899994,4.199999809,62.74000168,3.200000048,-3.74000001,3.839999914,36.88999939
4.690000057,142.9700012,3.829999924,15.57999992,4.550000191,139.5599976,4.420000076,99.97000122,2.329999924,-3.380000114,3.819999933,36.68999863,4.559999943,150.2599945,4.53000021,80.65000153,3.579999924,15.13000011,2.660000086,-5.090000153,4.570000172,142.5,3.670000076,27.92000008,3.50999999,2.779999971,4.369999886,78.69000244
